timestamp,cpu_percent,memory_percent,memory_mb,active_workers,queued_tasks
2025-12-11T16:58:39.858200,24.5,69.5,5431.45703125,1,9
2025-12-11T16:58:40.862163,27.2,69.6,5432.609375,1,9
2025-12-11T16:58:41.865574,18.1,69.4,5417.33203125,1,9
2025-12-11T16:58:42.867900,14.5,63.9,4994.0,1,8
2025-12-11T16:58:43.871851,18.5,66.9,5224.07421875,1,8
2025-12-11T16:58:44.875450,27.4,68.9,5379.5859375,1,8
2025-12-11T16:58:45.879400,27.5,69.0,5386.9296875,1,8
2025-12-11T16:58:46.882513,26.7,69.1,5393.2578125,1,8
2025-12-11T16:58:47.886320,26.8,69.1,5398.5,1,8
2025-12-11T16:58:48.890105,27.2,69.2,5401.59375,1,8
2025-12-11T16:58:49.894070,26.8,69.2,5404.296875,1,8
2025-12-11T16:58:50.897121,27.6,69.2,5407.56640625,1,8
2025-12-11T16:58:51.900689,27.5,69.3,5411.99609375,1,8
2025-12-11T16:58:52.905281,27.7,69.3,5411.90234375,1,8
2025-12-11T16:58:53.909319,27.8,69.3,5412.38671875,1,8
2025-12-11T16:58:54.913673,27.5,69.4,5417.703125,1,8
2025-12-11T16:58:55.918630,25.7,69.4,5416.9375,1,8
2025-12-11T16:58:56.922753,26.8,69.3,5410.7734375,1,8
2025-12-11T16:58:57.925605,26.4,69.3,5414.06640625,1,8
2025-12-11T16:58:58.930227,26.9,69.4,5418.03515625,1,8
2025-12-11T16:58:59.934633,26.8,69.4,5418.1328125,1,8
2025-12-11T16:59:00.937926,27.9,69.4,5420.359375,1,8
2025-12-11T16:59:01.940471,27.5,69.4,5420.265625,1,8
2025-12-11T16:59:02.944092,27.2,69.4,5421.89453125,1,8
2025-12-11T16:59:03.948562,26.7,69.5,5425.08984375,1,8
2025-12-11T16:59:04.952534,26.7,69.5,5425.05078125,1,8
2025-12-11T16:59:05.955010,26.7,69.5,5426.4140625,1,8
2025-12-11T16:59:06.957839,26.9,69.5,5427.5078125,1,8
2025-12-11T16:59:07.961037,27.0,69.5,5426.4609375,1,8
2025-12-11T16:59:08.964308,27.1,69.5,5430.83203125,1,8
2025-12-11T16:59:09.967856,25.5,69.7,5441.98046875,1,8
2025-12-11T16:59:10.971539,27.6,69.7,5442.89453125,1,8
2025-12-11T16:59:11.974497,26.2,69.7,5444.59765625,1,8
2025-12-11T16:59:12.977085,12.5,63.6,4965.76953125,1,7
2025-12-11T16:59:13.979470,16.9,64.4,5030.0,1,7
2025-12-11T16:59:14.983726,24.8,67.6,5277.12890625,1,7
2025-12-11T16:59:15.988368,26.7,68.7,5366.125,1,7
2025-12-11T16:59:16.992504,26.9,68.8,5373.06640625,1,7
2025-12-11T16:59:17.996097,26.9,68.8,5376.93359375,1,7
2025-12-11T16:59:18.999460,27.0,68.9,5381.0234375,1,7
2025-12-11T16:59:20.003480,27.0,68.9,5383.6796875,1,7
2025-12-11T16:59:21.006752,26.9,69.0,5388.296875,1,7
2025-12-11T16:59:22.009270,27.1,69.0,5392.33984375,1,7
2025-12-11T16:59:23.013129,26.2,69.1,5395.984375,1,7
2025-12-11T16:59:24.017106,26.7,69.1,5394.6484375,1,7
2025-12-11T16:59:25.021138,26.6,69.1,5398.79296875,1,7
2025-12-11T16:59:26.025138,26.8,69.1,5399.6484375,1,7
2025-12-11T16:59:27.028979,24.5,69.1,5400.44140625,1,7
2025-12-11T16:59:28.032283,26.5,69.1,5399.47265625,1,7
2025-12-11T16:59:29.036336,26.1,69.2,5405.37890625,1,7
2025-12-11T16:59:30.040259,26.7,69.2,5405.296875,1,7
2025-12-11T16:59:31.044201,26.7,69.2,5405.4453125,1,7
2025-12-11T16:59:32.048597,27.0,69.2,5407.33984375,1,7
2025-12-11T16:59:33.052887,27.3,69.3,5408.55859375,1,7
2025-12-11T16:59:34.057353,27.1,70.2,5485.02734375,1,7
2025-12-11T16:59:35.060730,26.7,71.7,5597.67578125,1,7
2025-12-11T16:59:36.066868,27.6,71.7,5597.37890625,1,7
2025-12-11T16:59:37.073226,26.9,71.6,5594.8125,1,7
2025-12-11T16:59:38.077221,26.7,71.7,5596.7734375,1,7
2025-12-11T16:59:39.080581,26.9,71.7,5597.1640625,1,7
2025-12-11T16:59:40.083787,25.1,71.7,5601.828125,1,7
2025-12-11T16:59:41.088336,26.9,71.9,5615.0078125,1,7
2025-12-11T16:59:42.091976,27.3,71.9,5615.6171875,1,7
2025-12-11T16:59:43.095297,13.1,63.3,4940.71875,1,6
2025-12-11T16:59:44.097811,16.3,64.1,5004.203125,1,6
2025-12-11T16:59:45.100885,22.9,67.8,5293.06640625,1,6
2025-12-11T16:59:46.104308,26.9,69.0,5392.6328125,1,6
2025-12-11T16:59:47.108234,27.4,69.2,5403.875,1,6
2025-12-11T16:59:48.111930,26.9,69.2,5406.51953125,1,6
2025-12-11T16:59:49.114966,27.2,69.3,5409.1875,1,6
2025-12-11T16:59:50.117979,26.8,69.3,5411.84375,1,6
2025-12-11T16:59:51.121897,27.2,69.3,5414.9375,1,6
2025-12-11T16:59:52.125680,26.8,69.4,5419.54296875,1,6
2025-12-11T16:59:53.129749,26.7,69.4,5422.98046875,1,6
2025-12-11T16:59:54.132521,25.7,69.4,5423.37890625,1,6
2025-12-11T16:59:55.136349,25.9,69.5,5425.765625,1,6
2025-12-11T16:59:56.140633,26.3,69.5,5428.1640625,1,6
2025-12-11T16:59:57.143778,24.9,69.5,5428.30859375,1,6
2025-12-11T16:59:58.147791,26.3,69.5,5427.2421875,1,6
2025-12-11T16:59:59.151374,26.7,69.5,5431.703125,1,6
2025-12-11T17:00:00.154995,26.6,69.5,5431.89453125,1,6
2025-12-11T17:00:01.160607,27.1,69.6,5433.3203125,1,6
